NomeLoja;EnderecoWeb;Endereco;Cidade;CEP;CNPJ;Horario;GrupoCardapio;0;1
Moraes Burger;https://www.ifood.com.br/delivery/abreu-e-lima-pe/moraes-burger-centro/4cb86899-0caf-4608-9a7b-e38b2a3cdc4d;Rua Escritora Rachel de Queiroz, 380 - Centro;Abreu e Lima - PE;53510-200;37.044.080/0001-97;['Segunda-feira - 18:30 às 22:45', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 20:45', 'Sexta-feira - 18:00 às 23:59', 'Sábado - 18:00 às 23:45', 'Domingo - 16:45 às 23:30'];['destaques', 'combo pro', 'mini salgado', 'familia especial', 'combo 3 anos da moraes burger', 'burger individual', 'clones', 'combo pro individual', 'combo do ano + refri', 'combo casal', 'combo familía', 'combos individuais', 'pastel recheado', 'fritas', 'refrigerantes'];;
Ti Burger;https://www.ifood.com.br/delivery/abreu-e-lima-pe/ti-burger-centro/9c71e6a3-9e8e-441f-8fa2-4d6980b4edda;Rua São Gonçalo, 379 - Centro;Abreu e Lima - PE;53510-200;37.385.547/0001-62;['Segunda-feira - 18:30 às 23:30', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:30 às 23:30', 'Quinta-feira - 18:30 às 23:30', 'Sexta-feira - 18:30 às 23:30', 'Sábado - 18:30 às 23:30', 'Domingo - 18:30 às 23:30'];['destaques', 'ti i g a r a s s u', 'ti  a b r e u', 'ti p e l ó p i d a s', 'ti m a c a x e i r a', 'b e b i d a s'];;
Sushi Net;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sushi-net-planalto/db2dc0c6-e085-411d-807a-9e2dc955816a;2ª Travessa Trinta e Um de Março, 455 - Planalto;Abreu e Lima - PE;53550-797;40.427.599/0001-69;['Segunda-feira - 06:00 às 06:15', 'Terça-feira - 06:00 às 06:15', 'Quarta-feira - Não abre', 'Quinta-feira - 06:00 às 06:15', 'Sexta-feira - 06:00 às 06:15', 'Sábado - 06:00 às 06:15', 'Domingo - 06:00 às 06:15'];['uramaki', 'hot roll (carioca)', 'hossomaki', 'temaki', 'niguiri (02 peças)', 'barcas', 'combos', 'bebidas', 'extra'];;
Rieli Doceria;https://www.ifood.com.br/delivery/abreu-e-lima-pe/rieli-doceria-centro/f1aa7e8d-9a94-4e7a-bf0e-889b06fbd408;Rua Luiz Carlos Anastácio, 990 - Centro;Abreu e Lima - PE;53525-600;48.733.344/0001-36;['Segunda-feira - Não abre', 'Terça-feira - 14:00 às 22:00', 'Quarta-feira - 14:00 às 23:59', 'Quinta-feira - 14:00 às 23:59', 'Sexta-feira - 22:00 às 23:59', 'Sábado - 14:00 às 23:59', 'Domingo - 14:00 às 21:00'];['doces', 'empadas', 'bolos', 'bebidas'];;
Restaurante Mixdog;https://www.ifood.com.br/delivery/abreu-e-lima-pe/restaurante-mixdog-centro/d23f72e1-402a-4874-a5d6-65fd98e586be;Rua Júlio Moliterno, 0 - Centro;Abreu e Lima - PE;53510-530;20.684.059/0001-53;['Segunda-feira - 11:00 às 22:45', 'Terça-feira - 10:00 às 22:45', 'Quarta-feira - 10:00 às 22:45', 'Quinta-feira - 10:00 às 22:45', 'Sexta-feira - 10:00 às 22:45', 'Sábado - 10:00 às 22:45', 'Domingo - 10:00 às 22:45'];['alacarte', 'almaço executivo', 'açaí', 'bebidas', 'combos', 'mixdog pão recheados', 'hamburgues e cachorro quetes'];;
Maricota Burgueria e Pizzaria;https://www.ifood.com.br/delivery/abreu-e-lima-pe/maricota-burgueria-e-pizzaria-centro/4cfdf70e-d90f-4273-b1f5-776c8573039d;Avenida Rui Barbosa, 298 - Centro;Abreu e Lima - PE;53525-030;25.267.983/0001-58;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - 17:30 às 22:15', 'Sábado - 17:30 às 22:15', 'Domingo - 17:30 às 22:15'];['destaques', 'pizzas', 'calzones (tamanho único)', 'burguers', 'combos', 'baguetes', 'porções', 'refrigerantes'];;
Dignus Churros;https://www.ifood.com.br/delivery/abreu-e-lima-pe/dignus-churros-planalto/f0ecf7d7-e217-4c1b-b812-38cbe71c3b1e;Rua Marechal Costa e Silva, 180 - Planalto;Abreu e Lima - PE;53550-095;44.503.421/0001-00;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['destaques', 'empadas doces', 'promoções do dia', 'churros simples', 'churros trufados', 'churros gourmet', 'churros meio a meio', 'churros com cobertura', 'combo churros simples', 'combo churros gourmet', 'mini churros', 'combo minis churros', 'batata frita simples', 'batata frita recheada (p)', 'batata frita recheada (g)', 'pastéis', 'combo de pasteis', 'refrigerante'];;
Mestre dos Salgados;https://www.ifood.com.br/delivery/abreu-e-lima-pe/mestre-dos-salgados-centro/6a7c1aa6-4162-4eb5-b31a-96dbb7bc1368;Avenida Duque de Caxias, 539 - Centro;Abreu e Lima - PE;53510-050;28.801.529/0001-23;['Segunda-feira - 00:00 às 00:15', 'Terça-feira - 00:00 às 00:15', 'Quarta-feira - 00:00 às 00:15', 'Quinta-feira - 00:00 às 00:15', 'Sexta-feira - 00:00 às 00:15', 'Sábado - 00:00 às 00:15', 'Domingo - 00:00 às 00:15'];['pizza', 'salgados fritos', 'esfirras árabes', 'esfirras', 'salgadinhos', 'bolos', 'tortas de aniversário', 'docinhos', 'sobremesas', 'doces', 'rocambole', 'prato promocional', 'bebidas', 'sucos promocionais', 'suco da fruta'];;
Box China;https://www.ifood.com.br/delivery/abreu-e-lima-pe/box-china-planalto/f100b98e-25ea-4e9d-aad0-2bdb99c5f2fc;Rua Ananias Lacerda de Andrade, 745 - Planalto;Abreu e Lima - PE;53550-540;22.054.580/0001-32;['Segunda-feira - 11:00 às 14:45 - 18:00 às 22:45', 'Terça-feira - Não abre', 'Quarta-feira - 11:00 às 14:45 - 18:00 às 22:45', 'Quinta-feira - 11:00 às 14:45 - 18:00 às 22:45', 'Sexta-feira - 11:00 às 14:45 - 18:00 às 22:45', 'Sábado - 11:00 às 14:45 - 18:00 às 22:45', 'Domingo - 11:00 às 22:45'];['pizza', 'comida regional', 'frutos do mar', 'bebidas', 'massa parmegiana', 'comida chinesa', 'petisco', 'guarnições', 'risoto'];;
Sorvetes Bacana;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sorvetes-bacana-centro/1ea9487f-3781-47fd-8f08-c615d842f102;Avenida Brasil, 44 - Centro;Abreu e Lima - PE;53525-790;24.729.564/0001-28;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 16:00 às 21:00', 'Quinta-feira - 16:00 às 21:00', 'Sexta-feira - 16:00 às 21:00', 'Sábado - 16:00 às 21:00', 'Domingo - 16:00 às 21:00'];['petiscos', 'sanduíches', 'pizza', 'sanduíches baguetes', 'sorvete', 'bebidas'];;
Megacrocks;https://www.ifood.com.br/delivery/abreu-e-lima-pe/megacrocks-centro/fc04cffb-f71f-4807-b9fe-62156697af12;Rua Padre Manoel da Nóbrega, 465 - Centro;Abreu e Lima - PE;53525-720;29.718.886/0001-95;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 18:15 às 21:00', 'Sexta-feira - 20:00 às 23:59', 'Sábado - 18:00 às 21:00', 'Domingo - Não abre'];['refrigerante', 'salgados artesanal fritos'];;
Pink Doceria;https://www.ifood.com.br/delivery/abreu-e-lima-pe/pink-doceria-timbo/53d9a6d0-d20b-4c67-9fae-4db01482577a;Rua Presidente Getúlio Vargas, 16 - Timbó;Abreu e Lima - PE;53520-220;48.735.428/0001-09;['Segunda-feira - Não abre', 'Terça-feira - 10:00 às 23:00', 'Quarta-feira - 10:00 às 23:00', 'Quinta-feira - 07:00 às 23:00', 'Sexta-feira - 06:30 às 23:00', 'Sábado - 08:45 às 23:00', 'Domingo - 08:00 às 23:00'];['destaques', 'está com fome de desconto?', 'combo promocional', 'sobremesas', 'bolo na tigela', 'bebidas'];;
Delicias da Dryca;https://www.ifood.com.br/delivery/igarassu-pe/delicias-da-dryca-bela-vista/47866dba-6f77-45e1-9e6a-4bc6d4a8c5a7;Rua Quênia, 15 - Bela Vista;Igarassu - PE;53650-037;42.659.068/0001-27;['Segunda-feira - Não abre', 'Terça-feira - 17:00 às 22:00', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - 17:00 às 22:00', 'Domingo - 11:00 às 22:00'];['açai', 'pastel', 'lanches', 'porções'];;
La Nave Restaurante;https://www.ifood.com.br/delivery/igarassu-pe/la-nave-restaurante-centro/f5936329-b622-4be0-b658-7a2b1888e6f5;Pe-035, 400 - Centro;Igarassu - PE;53610-595;46.373.712/0001-57;['Segunda-feira - 11:00 às 15:00', 'Terça-feira - 11:00 às 15:00', 'Quarta-feira - 11:00 às 15:00', 'Quinta-feira - 11:00 às 15:00', 'Sexta-feira - 11:00 às 15:00', 'Sábado - 11:00 às 15:00', 'Domingo - 11:00 às 15:00'];['cupom', 'almoço prato individual', 'almoço (serve 2 pessoas)', 'massas', 'petiscos', 'bebidas', 'almoço para 4 pessoas'];;
Açaí do Amor;https://www.ifood.com.br/delivery/igarassu-pe/acai-do-amor-sitio-dos-marcos/ccef5922-b018-47dd-8ee9-544ad6299321;Rua Orlando Uchôa, 2 - Sítio dos Marcos;Igarassu - PE;53615-380;46.456.957/0001-48;['Segunda-feira - 16:00 às 21:30', 'Terça-feira - 16:00 às 21:30', 'Quarta-feira - 16:00 às 21:30', 'Quinta-feira - 16:00 às 21:30', 'Sexta-feira - 16:00 às 22:30', 'Sábado - 16:00 às 22:30', 'Domingo - 16:00 às 22:30'];['açaí e cremes'];;
Império do Pastel;https://www.ifood.com.br/delivery/igarassu-pe/imperio-do-pastel-centro/e3b503dd-3378-4d5f-9523-5fbdc6dd1fa5;Avenida Severino Tavares Uchôa, 262 - Centro;Igarassu - PE;53610-970;41.422.417/0001-20;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - 16:00 às 23:00'];['destaques', 'delicioso pastel de massa japônesa.'];;
Mjss Doceria e Conveniência;https://www.ifood.com.br/delivery/igarassu-pe/mjss-doceria-e-conveniencia-agamenon-magalhaes/396498a9-afe1-4b26-80cd-755e3edf4130;Rua Samaritana, 110 - Agamenon Magalhães;Igarassu - PE;53640-716;47.269.300/0001-34;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['destaques', 'bebidas', 'biscoitos,balas e doces', 'mercado', 'salgadinhos e petiscos', 'doceria'];;
Marrom Glacê;https://www.ifood.com.br/delivery/abreu-e-lima-pe/marrom-glace-timbo/d01a6d5b-057b-49e8-9e80-95fc7afa44d1;Avenida Joaquim Nabuco, 38 - Timbó;Abreu e Lima - PE;53520-180;12.399.116/0001-24;['Segunda-feira - 08:30 às 16:30', 'Terça-feira - 08:30 às 16:30', 'Quarta-feira - 08:30 às 16:30', 'Quinta-feira - 08:30 às 16:30', 'Sexta-feira - 08:30 às 16:30', 'Sábado - 08:30 às 16:30', 'Domingo - Não abre'];['bolos inteiros', 'bolos fatias', 'salgados lanches', 'mini salgados (25 unidades)', 'doces (4 unidades)', 'doces gourmet (4 unidades)', 'sobremesas', 'bebidas'];;
Jr Bebidas;https://www.ifood.com.br/delivery/abreu-e-lima-pe/jr-bebidas-timbo/7ca25a3a-aa59-4fd2-83e6-c8c68f66b27d;Avenida Joaquim Nabuco, 442 - Timbó;Abreu e Lima - PE;53520-180;18.186.343/0001-58;['Segunda-feira - Não abre', 'Terça-feira - 08:00 às 18:00', 'Quarta-feira - 08:00 às 18:00', 'Quinta-feira - 08:00 às 18:00', 'Sexta-feira - 08:00 às 18:00', 'Sábado - 08:00 às 19:00', 'Domingo - 08:00 às 14:00'];['whisky', 'vodkas', 'cachaças', 'gin', 'espumante', 'long neck / 600 ml descartável', 'ice', 'cerveja lata', 'vinho', 'lojinha', 'destilados', 'suco/aguas', 'refrigerantes', 'caixa de cerveja', 'drincks pronto', 'comidinhas', 'energetico'];;
Açaí Pioca Lanche e Janta;https://www.ifood.com.br/delivery/abreu-e-lima-pe/acai-pioca-lanche-e-janta-timbo/16bedc7c-3210-438a-85f0-46ec61e61894;Rua da Assembleia, 100 - Timbo;Abreu e Lima - PE;53520-190;35.524.027/0001-68;['Segunda-feira - 17:00 às 22:00', 'Terça-feira - 17:00 às 22:00', 'Quarta-feira - 17:00 às 22:00', 'Quinta-feira - 17:00 às 22:00', 'Sexta-feira - 17:00 às 22:00', 'Sábado - 17:00 às 22:00', 'Domingo - 00:00 às 00:15'];['bebidas', 'lanches', 'cuscuz', 'tapiocas', 'janta'];;
Tata Amazonas;https://www.ifood.com.br/delivery/abreu-e-lima-pe/tata-amazonas-timbo/61ca6747-3e19-4b06-84f1-0da13f1fde95;Avenida Joaquim Nabuco, 653 - Timbó;Abreu e Lima - PE;53520-180;32.186.180/0001-34;['Segunda-feira - 14:30 às 21:30', 'Terça-feira - 14:30 às 21:30', 'Quarta-feira - 14:30 às 21:30', 'Quinta-feira - 14:30 às 21:30', 'Sexta-feira - 14:30 às 21:30', 'Sábado - 15:30 às 21:30', 'Domingo - 15:30 às 21:30'];['hambúrgueres artesanais', 'tapiocas salgadas', 'tapiocas doces', 'cuscuz recheado', 'porções', 'açaí / cremes', 'bebidas'];;
Blue Burguer;https://www.ifood.com.br/delivery/igarassu-pe/blue-burguer-centro/36d3a37d-7048-4ee7-ad85-0f4fb95dc99e;Avenida Waldemar Luiz do Nascimento, 262 - Centro;Igarassu - PE;53610-530;35.633.901/0001-03;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 22:00', 'Quarta-feira - 18:00 às 22:00', 'Quinta-feira - 11:00 às 15:00 - 18:00 às 22:00', 'Sexta-feira - 18:00 às 22:00', 'Sábado - 18:00 às 22:00', 'Domingo - 18:00 às 22:00'];['destaques', 'promoção!!! cupom de 10!!!', 'hambúrguer artesanal', 'lanches series especiais', 'hambúrguer tradicional', 'hot dog', 'bebidas', 'janta'];;
The Family Pizza;https://www.ifood.com.br/delivery/igarassu-pe/the-family-pizza-centro/62ed2a7e-74e3-47ea-b41f-ad853613eeca;Avenida Waldemar Luiz do Nascimento, 34 - Centro;Igarassu - PE;53610-530;46.798.254/0001-06;['Segunda-feira - 17:00 às 22:30', 'Terça-feira - 17:00 às 22:30', 'Quarta-feira - 17:00 às 22:30', 'Quinta-feira - 17:00 às 22:30', 'Sexta-feira - 17:00 às 22:30', 'Sábado - 17:00 às 22:30', 'Domingo - 17:00 às 22:30'];['destaques', 'as mais pedidas', 'combos promocionais', 'pizzas salgadas', 'pizzas doces', 'bebidas'];;
Day Tavares Confeitaria;https://www.ifood.com.br/delivery/abreu-e-lima-pe/day-tavares-confeitaria-planalto/5d575370-61f7-4604-8c2a-3268f86794db;Rua Sete de Setembro, 38 - Planalto;Abreu e Lima - PE;53550-040;32.902.703/0001-00;['Segunda-feira - 13:30 às 19:00', 'Terça-feira - 13:30 às 19:00', 'Quarta-feira - 13:00 às 19:00', 'Quinta-feira - 13:00 às 19:00', 'Sexta-feira - 13:00 às 19:00', 'Sábado - 13:00 às 19:00', 'Domingo - 09:00 às 12:00'];['bolos caseiros', 'kit festinha', 'bolo com cobertura', 'bolos e tortas recheados', 'sobremesa', 'salgados', 'combos promocionais', 'bebidas'];;
Dona Ione;https://www.ifood.com.br/delivery/igarassu-pe/dona-ione-sitio-dos-marcos/b0e06b8e-aa40-486c-ad1a-c6aa3fd410f0;Rua Sapé, 5 - Sítio dos Marcos;Igarassu - PE;53615-145;46.391.016/0001-73;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['cupom de desconto', 'dia dos namorados', 'brownie', 'bolos', 'sobremesa'];;
Parmegiana;https://www.ifood.com.br/delivery/abreu-e-lima-pe/parmegiana-timbo/955f3294-3c94-47c0-b526-3d59398ae0b7;Rua Carlos Gomes, 121 - Timbó;Abreu e Lima - PE;53520-130;47.265.621/0001-60;['Segunda-feira - 10:00 às 14:00', 'Terça-feira - 10:00 às 14:00', 'Quarta-feira - 10:00 às 14:00', 'Quinta-feira - 10:00 às 14:00', 'Sexta-feira - 10:00 às 14:00', 'Sábado - Não abre', 'Domingo - Não abre'];['pegue seu cupom de 10$!!', 'refeições'];;
Sabor Nordestino;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sabor-nordestino-timbo/a20081d8-4159-45d7-bbe9-5d1847eea730;Rua Marcílio Dias, 236 - Timbó;Abreu e Lima - PE;53520-120;35.314.933/0001-38;['Segunda-feira - 09:00 às 14:30', 'Terça-feira - 09:00 às 14:30', 'Quarta-feira - 09:00 às 14:30', 'Quinta-feira - 09:00 às 14:30', 'Sexta-feira - 09:00 às 14:30', 'Sábado - 09:00 às 14:30', 'Domingo - 09:45 às 15:00'];['nordestinos primes', 'pratos individuais', 'queridinhos', 'refrigerantes', 'sucos da polpa'];;
Dallas Burguers;https://www.ifood.com.br/delivery/abreu-e-lima-pe/dallas-burguers-caetes-iii/c2a4418a-c91e-4f83-97f2-76a3d706187b;Rua Quarenta e Sete, 86 - Caetés Iii;Abreu e Lima - PE;53545-100;37.614.124/0001-77;['Segunda-feira - 00:00 às 03:00 - 11:00 às 23:59', 'Terça-feira - 00:00 às 03:00 - 12:00 às 23:59', 'Quarta-feira - 00:00 às 04:00 - 11:00 às 23:59', 'Quinta-feira - 00:00 às 03:00 - 13:00 às 23:59', 'Sexta-feira - 00:00 às 02:30 - 13:00 às 23:59', 'Sábado - 00:00 às 04:00 - 14:00 às 23:59', 'Domingo - 00:00 às 04:00 - 11:00 às 23:59'];['destaques', 'hambúrguer', 'turbine seu burguer', 'salgados', 'lanche combos', 'promoção', 'sucos', 'bebidas'];;
Acai da Tay;https://www.ifood.com.br/delivery/igarassu-pe/acai-da-tay-bela-vista/4a6ffb78-1e93-460d-91e5-3d7b2fe5feba;Rua Erasmo Martins Correia, 345 - Bela Vista;Igarassu - PE;53650-215;33.123.509/0001-80;['Segunda-feira - 11:00 às 11:15', 'Terça-feira - 11:00 às 11:30', 'Quarta-feira - 11:00 às 11:15', 'Quinta-feira - 11:00 às 11:15', 'Sexta-feira - 11:00 às 11:30', 'Sábado - 11:00 às 11:15', 'Domingo - Não abre'];['lanches', 'açaí'];;
Marize Melo Confeitaria;https://www.ifood.com.br/delivery/abreu-e-lima-pe/marize-melo-confeitaria-caetes-iii/945e62e9-4002-449d-9543-8409de908d70;Rua Setenta e Quatro, 146 - Caetés Iii;Abreu e Lima - PE;53545-180;48.131.898/0001-63;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 13:00 às 18:00', 'Quinta-feira - 13:00 às 18:00', 'Sexta-feira - 13:00 às 18:00', 'Sábado - 13:00 às 18:00', 'Domingo - Não abre'];['fatias de bolo', 'bebidas'];;
Tassiane Doceria;https://www.ifood.com.br/delivery/abreu-e-lima-pe/tassiane-doceria-caetes-iii/48777a30-8658-4a32-a448-49138018255e;Rua Setenta e Um, 55 - Caetes Iii;Abreu e Lima - PE;53545-150;47.174.052/0001-48;['Segunda-feira - 07:00 às 08:00', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['doces tradicionais'];;
Nilda Lanches;https://www.ifood.com.br/delivery/abreu-e-lima-pe/nilda-lanches-caetes-i/589e4d34-99b2-4fce-8389-a8cd8c710d13;Rua Cento e Setenta E Cinco, 441 - Caetés I;Abreu e Lima - PE;53530-450;45.427.623/0001-83;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - 15:00 às 21:15', 'Domingo - 16:00 às 20:00'];['lanches'];;
Restaurante Catarinense;https://www.ifood.com.br/delivery/abreu-e-lima-pe/restaurante-catarinense-timbo/f156985a-bbac-4cb4-b0d4-cd55c3bf1cfa;Avenida Brasil, 667 - Timbó;Abreu e Lima - PE;53520-005;12.572.343/0001-00;['Segunda-feira - 10:30 às 14:45', 'Terça-feira - 10:30 às 14:45', 'Quarta-feira - 10:30 às 14:45', 'Quinta-feira - 10:30 às 14:45', 'Sexta-feira - 10:30 às 14:45', 'Sábado - 10:30 às 14:45', 'Domingo - 10:30 às 14:45'];['destaques', 'pratos individuais', 'pratos para 3 a 4 pessoas', 'porções extra', 'sobremesa', 'bebidas'];;
Quentinha Edkassia;https://www.ifood.com.br/delivery/abreu-e-lima-pe/quentinha-edkassia-caetes-i/875453b5-0566-430f-a391-29ac0b16ad01;Rua Cento e Dezessete, 6 - Caetés I;Abreu e Lima - PE;53530-020;39.490.928/0001-37;['Segunda-feira - 07:00 às 23:00', 'Terça-feira - 07:00 às 23:00', 'Quarta-feira - 07:00 às 23:00', 'Quinta-feira - 07:00 às 23:00', 'Sexta-feira - 07:00 às 23:00', 'Sábado - 07:00 às 23:00', 'Domingo - 10:00 às 14:30'];['bebidas', 'café da manhã', 'lanche', 'almoços'];;
Delicias da Faby;https://www.ifood.com.br/delivery/abreu-e-lima-pe/delicias-da-faby-caetes-i/d49fc0f6-71c2-4d37-9760-9b101edeb1d0;Rua Cento e Sessenta E Dois, 56 - Caetés I;Abreu e Lima - PE;53530-418;44.950.359/0001-03;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 11:00 às 21:00', 'Sexta-feira - 13:00 às 22:00', 'Sábado - Não abre', 'Domingo - Não abre'];['bebidas', 'cone', 'fatia de bolo', 'kit fim de festa 2', 'kit fim de festa.'];;
Cantinho do Açaí Oficial;https://www.ifood.com.br/delivery/abreu-e-lima-pe/cantinho-do-acai-oficial-caetes-i/e822efa7-d200-48d3-bb07-f299ba160f31;Avenida J, 10 - Caetés I;Abreu e Lima - PE;53530-525;48.112.652/0001-44;['Segunda-feira - 18:00 às 22:00', 'Terça-feira - 18:00 às 22:00', 'Quarta-feira - 18:30 às 22:45', 'Quinta-feira - 18:30 às 22:45', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 22:00'];['açai', 'mousse', 'pudim', 'roleta de açai'];;
Zeus Hambugueria Gourmet;https://www.ifood.com.br/delivery/abreu-e-lima-pe/zeus-hambugueria-gourmet-caetes-i/09125f40-d754-4ea3-9339-2633bd7f32f0;Rua Noventa e Três, 135 - Caetés I;Abreu e Lima - PE;53530-660;42.849.206/0001-30;['Segunda-feira - 10:00 às 23:30', 'Terça-feira - 10:00 às 23:30', 'Quarta-feira - 10:00 às 23:30', 'Quinta-feira - 10:00 às 23:30', 'Sexta-feira - 10:00 às 23:30', 'Sábado - 10:00 às 23:30', 'Domingo - 10:00 às 23:30'];['estamos definitivamente abertos!!', 'hambúrguers especiais gourmets', 'hambúrguers tradicionais gourmet'];;
Garagem Burguer;https://www.ifood.com.br/delivery/igarassu-pe/garagem-burguer-tabatinga/eb0f8f28-6641-452a-9f25-98cc0f800b59;Rua Vereador Josuel Roberto de Souza, 97 - Tabatinga;Igarassu - PE;53605-725;47.779.683/0001-90;['Segunda-feira - 18:00 às 22:45', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 22:45', 'Domingo - 17:00 às 22:00'];['destaques', 'hambúrguer', 'combos', 'açaí'];;
Dutra's Sweets;https://www.ifood.com.br/delivery/abreu-e-lima-pe/dutras-sweets-caetes-i/56211799-772a-4e06-9e18-78febf329902;Rua Noventa, 105 - Caetés I;Abreu e Lima - PE;53530-645;46.817.812/0001-25;['Segunda-feira - 07:00 às 23:59', 'Terça-feira - 07:00 às 23:59', 'Quarta-feira - 07:00 às 23:59', 'Quinta-feira - 07:00 às 23:59', 'Sexta-feira - 07:00 às 23:59', 'Sábado - 07:00 às 23:59', 'Domingo - 07:00 às 23:59'];['destaques', 'bolo de pote', 'copos da felicidade', 'bebidas', 'batata frita'];;
Doce Doceria_mda;https://www.ifood.com.br/delivery/igarassu-pe/doce-doceriamda-tabatinga/493e07a4-8b48-4205-b76b-f19b54989fb3;Rua Ivanildo Coelho de Oliveira, 102 - Tabatinga;Igarassu - PE;53605-545;42.683.392/0001-80;['Segunda-feira - Não abre', 'Terça-feira - 11:00 às 19:00', 'Quarta-feira - 11:00 às 19:00', 'Quinta-feira - 11:00 às 19:00', 'Sexta-feira - 11:00 às 20:30', 'Sábado - 11:00 às 19:00', 'Domingo - Não abre'];['promoção - r$10 off'];;
Family Confeitaria;https://www.ifood.com.br/delivery/abreu-e-lima-pe/family-confeitaria-caetes-i/8eae7aa1-36e6-438b-bfc2-76cf0712929a;Rua Cento e Sessenta E Nove, 5 - Caetés I;Abreu e Lima - PE;53530-436;28.956.663/0001-01;['Segunda-feira - 17:00 às 22:00', 'Terça-feira - 16:00 às 22:00', 'Quarta-feira - 15:00 às 22:00', 'Quinta-feira - 16:00 às 22:00', 'Sexta-feira - 16:00 às 22:00', 'Sábado - 16:00 às 22:00', 'Domingo - 16:00 às 22:00'];['cupom de desconto r$ 10,00 ifood', 'brownie', 'fatia de bolo', 'bebidas'];;
Spettalhoes Bar e Restaurante;https://www.ifood.com.br/delivery/abreu-e-lima-pe/spettalhoes-bar-e-restaurante-caetes-i/d875910b-b194-47e7-8404-c08aa5d86de2;Rua Cento e Trinta E Tres, 5 - Caetes I;Abreu e Lima - PE;53530-190;44.344.652/0001-19;['Segunda-feira - 00:00 às 02:00 - 07:00 às 23:59', 'Terça-feira - 00:00 às 02:00 - 07:00 às 23:59', 'Quarta-feira - 00:00 às 02:00 - 07:00 às 23:59', 'Quinta-feira - 00:00 às 02:00 - 07:00 às 23:59', 'Sexta-feira - 00:00 às 02:00 - 07:00 às 23:59', 'Sábado - 00:00 às 02:00 - 07:00 às 23:59', 'Domingo - 00:00 às 02:00 - 07:00 às 23:59'];"['destaques', 'parmegiana', ""espertto's destaques"", 'barca spetalhões', 'petiscos espetalhões', 'caldos', 'que tal uma batata?', 'caldos e sopas', 'sucos naturais', 'bebidas', 'vinhos', 'energéticos']";;
Tia Cris Espetinhos & Comedoria;https://www.ifood.com.br/delivery/igarassu-pe/tia-cris-espetinhos--comedoria-cortegada/0647e216-3b85-4c9a-bdda-b3ada77449b2;Rua São Francisco de Assis , 53 - Cortegada;Igarassu - PE;53605-655;34.226.298/0001-74;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 22:30', 'Quarta-feira - Não abre', 'Quinta-feira - 18:00 às 22:30', 'Sexta-feira - 18:00 às 22:30', 'Sábado - 16:00 às 23:00', 'Domingo - 16:00 às 23:00'];['espetinhos', 'petiscos', 'pães', 'cervejas', 'bebidas'];;
